TERM,TERM_DESC,SUBJ,NUMB,class,CRN,INSTRUCTOR,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,P,N,OTHER,W,TOT_NON_W,atot,btot,ctot,dtot,ftot,tot,aprec,bprec,cprec,dprec,fprec,is_faculty
201301,Fall 2013,BI,410,BI410,11992,"Barkan, Alice",0,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,10,6,4,0,0,0,10,60,40,0,0,0,0
201302,Winter 2014,BI,410,BI410,27276,"Castenholz, Richard W.",1,6,2,3,6,0,0,0,0,0,0,0,0,2,0,0,1,20,9,9,0,0,0,18,50,50,0,0,0,0
201303,Spring 2014,BI,410,BI410,33680,"Weeks, Janis C.",5,4,3,3,3,4,0,1,0,0,0,0,1,1,0,0,0,25,12,10,1,0,1,24,50,41.66666667,4.166666667,0,4.166666667,0
201303,Spring 2014,BI,410,BI410,38620,"Sprague, George F.",1,6,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,22,19,3,0,0,0,22,86.36363636,13.63636364,0,0,0,0
201303,Spring 2014,BI,410,BI410,38929,"Wetherwax, Peter Brian",0,6,1,2,2,3,2,0,0,0,0,0,0,0,0,0,0,16,7,7,2,0,0,16,43.75,43.75,12.5,0,0,0
201401,Fall 2014,BI,410,BI410,11167,"Westerfield, Monte",0,7,0,3,7,4,0,0,0,0,0,0,0,0,0,0,1,21,7,14,0,0,0,21,33.33333333,66.66666667,0,0,0,0
201401,Fall 2014,BI,410,BI410,16938,"Capaldi, Roderick A.",4,12,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,18,1,0,0,0,19,94.73684211,5.263157895,0,0,0,0
201402,Winter 2015,BI,410,BI410,26344,"Bohannan, Brendan",0,9,4,2,3,2,0,0,0,0,0,0,0,0,0,0,0,20,13,7,0,0,0,20,65,35,0,0,0,0
201402,Winter 2015,BI,410,BI410,26348,"Conery, John",0,8,3,1,5,2,1,1,1,0,0,0,0,0,1,0,0,23,11,8,3,0,0,22,50,36.36363636,13.63636364,0,0,0
201402,Winter 2015,BI,410,BI410,26925,"Wood, Michelle",4,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,16,13,3,0,0,0,16,81.25,18.75,0,0,0,0
201403,Spring 2015,BI,410,BI410,31036,"Weeks, Janis C.",2,7,3,0,7,1,2,2,0,0,0,0,0,1,0,0,0,25,12,8,4,0,0,24,50,33.33333333,16.66666667,0,0,0
201403,Spring 2015,BI,410,BI410,31037,"Sprague, George F.",0,3,9,3,2,0,0,1,0,0,0,0,0,0,0,0,0,18,12,5,1,0,0,18,66.66666667,27.77777778,5.555555556,0,0,0
201403,Spring 2015,BI,410,BI410,36449,"Jaramillo, Santiago",4,9,4,1,1,0,0,1,0,0,0,0,0,1,0,0,0,21,17,2,1,0,0,20,85,10,5,0,0,0
201501,Fall 2015,BI,410,BI410,16970,"Capaldi, Roderick A.",5,18,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,31,29,2,0,0,0,31,93.5483871,6.451612903,0,0,0,0
201502,Winter 2016,BI,410,BI410,21158,"Bohannan, Brendan",0,10,4,5,3,1,0,0,0,0,0,0,0,0,0,0,0,23,14,9,0,0,0,23,60.86956522,39.13043478,0,0,0,0
201502,Winter 2016,BI,410,BI410,21159,"Conery, John",0,10,3,0,4,1,0,0,1,0,0,0,0,1,0,0,0,20,13,5,1,0,0,19,68.42105263,26.31578947,5.263157895,0,0,0
201502,Winter 2016,BI,410,BI410,26522,"Jaramillo, Santiago",8,3,7,1,0,0,1,0,0,0,0,0,0,0,1,0,0,21,18,1,1,0,0,20,90,5,5,0,0,0
