TERM,TERM_DESC,SUBJ,NUMB,class,CRN,INSTRUCTOR,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,P,N,OTHER,W,TOT_NON_W,atot,btot,ctot,dtot,ftot,tot,aprec,bprec,cprec,dprec,fprec
201401,Fall 2014,AAD,252,AAD252,10142,"Voelker-Morris, Julie Louise",0,17,12,8,14,9,0,4,2,1,0,0,4,3,1,0,3,75,29,31,6,1,4,71,40.84507042,43.66197183,8.450704225,1.408450704,5.633802817
201401,Fall 2014,AAD,252,AAD252,17042,"Hoffman, Elizabeth Lee",0,7,8,4,3,3,2,0,3,2,0,1,0,6,1,0,0,40,15,10,5,3,0,33,45.45454545,30.3030303,15.15151515,9.090909091,0
201401,Fall 2014,AAD,252,AAD252,17043,"Voelker-Morris, Julie Louise",0,3,10,3,3,2,1,1,0,0,0,0,2,4,3,0,8,32,13,8,2,0,2,25,52,32,8,0,8
201401,Fall 2014,AAD,252,AAD252,17044,"Tanenbaum, Elizabeth Ann",0,16,10,6,0,2,0,0,0,0,0,0,1,3,1,0,1,39,26,8,0,0,1,35,74.28571429,22.85714286,0,0,2.857142857
201402,Winter 2015,AAD,252,AAD252,26316,"Hoffman, Elizabeth Lee",0,4,8,4,2,7,2,2,3,1,0,0,2,2,2,0,1,39,12,13,7,1,2,35,34.28571429,37.14285714,20,2.857142857,5.714285714
201402,Winter 2015,AAD,252,AAD252,26317,"Gurley, Gregory C.",0,23,5,1,3,3,0,0,0,0,1,0,0,1,1,0,1,38,28,7,0,1,0,36,77.77777778,19.44444444,0,2.777777778,0
201402,Winter 2015,AAD,252,AAD252,26318,"Voelker-Morris, Julie Louise",0,1,2,8,2,5,5,4,0,0,1,0,1,1,4,0,7,34,3,15,9,1,1,29,10.34482759,51.72413793,31.03448276,3.448275862,3.448275862
201403,Spring 2015,AAD,252,AAD252,30041,"Voelker-Morris, Julie Louise",0,11,13,8,6,5,2,1,0,0,0,0,1,1,5,0,7,53,24,19,3,0,1,47,51.06382979,40.42553191,6.382978723,0,2.127659574
201403,Spring 2015,AAD,252,AAD252,35999,"Hoffman, Elizabeth Lee",0,13,5,4,4,4,2,3,0,0,0,1,1,1,1,1,3,40,18,12,5,1,1,37,48.64864865,32.43243243,13.51351351,2.702702703,2.702702703
201403,Spring 2015,AAD,252,AAD252,36000,"Gurley, Gregory C.",0,27,4,2,2,1,0,0,2,0,0,0,0,1,0,0,1,39,31,5,2,0,0,38,81.57894737,13.15789474,5.263157895,0,0
201403,Spring 2015,AAD,252,AAD252,36003,"Voelker-Morris, Julie Louise",0,2,8,6,5,3,1,0,4,0,1,0,2,3,2,1,4,38,10,14,5,1,2,32,31.25,43.75,15.625,3.125,6.25
201403,Spring 2015,AAD,252,AAD252,36004,"Tanenbaum, Elizabeth Ann",0,22,6,7,2,1,0,0,0,0,0,0,0,1,1,0,1,40,28,10,0,0,0,38,73.68421053,26.31578947,0,0,0
201404,Summer 2015,AAD,252,AAD252,40116,"Tanenbaum, Elizabeth Ann",0,9,3,2,2,0,1,1,0,0,0,1,1,1,0,0,0,21,12,4,2,1,1,20,60,20,10,5,5
201404,Summer 2015,AAD,252,AAD252,42395,"Voelker-Morris, Julie Louise",0,4,6,4,2,6,0,3,3,2,0,0,0,4,1,0,1,35,10,12,6,2,0,30,33.33333333,40,20,6.666666667,0
201404,Summer 2015,AAD,252,AAD252,42396,"Hoffman, Elizabeth Lee",0,10,3,3,3,3,2,1,2,0,1,0,0,2,0,1,2,31,13,9,5,1,0,28,46.42857143,32.14285714,17.85714286,3.571428571,0
